Endereços,Descrições,Metros Quadrados,Quartos,Banheiros,Vagas,Atributos,Preços
"Rua Benedito da Silva, 895 - Jardim Sao Carlos, São Carlos - SP","Casa com 3 Quartos para Aluguel, 200",  200,  3,  1,  --,,   R$ 2.223 /Mês 
"Rua Comendador Miguel Calfat, 128 - Itaim Bibi, São Paulo - SP","Sala/Conjunto    para Aluguel, 25",  25,,  1,  1,"['Ar-condicionado', 'Loja', 'Elevador', 'Aquecimento', 'Escritório']",   R$ 1.200 /Mês 
"Travessa Chico Luiz, 37 - Centro, São José dos Campos - SP","Apartamento com 2 Quartos para Aluguel, 74",  74,  2,  1,  --,,   R$ 1.900 /Mês 
"Rua Dona Cecília Santana - Vila Granada, São Paulo - SP","Casa de condomínio com 3 Quartos para Aluguel, 150",  150,  3,  3,  4,"['Garagem', 'Jardim', 'Cozinha', 'Interfone', 'Vista exterior', '...']",   R$ 2.100 /Mês  Preço abaixo do mercado  
"Avenida Rouxinol, 174 - Indianópolis, São Paulo - SP","Flat com  Quarto para Aluguel, 42",  42,  1,  1,  1,"['Piscina', 'Mobiliado', 'Elevador', 'Academia', 'Garagem', '...']",   R$ 2.650 /Mês 
"Avenida Joaquim Bernardino de Souza, 5644 - Vila Nova Aliança , Jacareí - SP","Apartamento com 2 Quartos para Aluguel, 40",  40,  2,  1,  1,"['Churrasqueira', 'Condomínio fechado', 'Área de serviço', 'Playground', 'Salão de festas', '...']",   R$ 900 /Mês 
"Estrada do Limoeiro, 465 - Jardim Califórnia, Jacareí - SP","Apartamento com 2 Quartos para Aluguel, 45",  45,  2,  1,  1,"['Portão eletrônico', 'Portaria 24h', 'Aceita animais']",   R$ 1.750 /Mês 
"Rua Ali-Babá, 252 - Jardim Gurilândia, Taubaté - SP","Casa com 2 Quartos à Venda/Aluguel 127",  127,  2,  2,  2,"['Ambientes integrados', 'Área de serviço', 'Armário na cozinha']",   R$ 1.500 /Mês 
"Rua Laranjal do Jari, 200 - Pirituba, São Paulo - SP","Apartamento com 2 Quartos para Aluguel, 40",  40,  2,  1,  1,"['Piscina', 'Churrasqueira', 'Elevador', 'Condomínio fechado', 'Aceita animais', '...']",   R$ 1.350 /Mês 
"Quinta da Primavera, Ribeirão Preto - SP","Apartamento com 2 Quartos para Aluguel, 90",  90,  2,  1,  2,"['Piscina', 'Churrasqueira', 'Elevador', 'Academia', 'Espaço gourmet', '...']",   R$ 3.600 /Mês 
"Avenida Jamaris, 100 - Moema, São Paulo - SP","Sala/Conjunto    para Aluguel, 31",  31,,  1,  1,"['Aquecimento', 'Ar-condicionado', 'Elevador', 'Escritório']",   R$ 2.300 /Mês 
"Rua Araguaia - Vila Curuçá, Santo André - SP","Apartamento com 2 Quartos para Aluguel, 64",  64,  2,  2,  1,"['Churrasqueira', 'Elevador', 'Piscina', 'Aceita animais']",   R$ 2.300 /Mês 
"Rua São Diego, 520 - Jardim Califórnia, Jacareí - SP","Apartamento com 2 Quartos para Aluguel, 70",  70,  2,  2,  1,"['Piscina', 'Elevador', 'Condomínio fechado', 'Academia', 'Jardim', '...']",   R$ 2.600 /Mês 
"Avenida Cléo de Verberena, 123 - Villa Branca, Jacareí - SP","Casa com 3 Quartos para Aluguel, 165",  165,  3,  2,  2,,   R$ 3.750 /Mês 
"Avenida Deputado Sérgio Cardoso de Almeida, 1980 - Jardim Olhos d Agua, Ribeirão Preto - SP","Apartamento com 2 Quartos para Aluguel, 97",  97,  2,  3,  2,"['Aceita animais', 'Ar-condicionado', 'Área de serviço', 'Varanda gourmet', 'Cozinha', '...']",   R$ 4.800 /Mês 
"Estrada do Limoeiro, 36 - Jardim Califórnia, Jacareí - SP","Apartamento com 2 Quartos para Aluguel, 45",  45,  2,  1,  1,"['Mobiliado', 'Condomínio fechado', 'Aceita animais', 'Playground', 'Portaria 24h', '...']",   R$ 1.750 /Mês 
"Campos Eliseos, Ribeirão Preto - SP","Casa com 2 Quartos para Aluguel, 66",  66,  2,  1,  1,"['Aceita animais', 'Lareira']",   R$ 1.200 /Mês 
"Rua Cândido Fontoura, 1001 - Butantã, São Paulo - SP","Apartamento com 2 Quartos para Aluguel, 46",  46,  2,  1,  1,"['Piscina', 'Mobiliado', 'Churrasqueira', 'Elevador', 'Academia', '...']",   R$ 1.700 /Mês 
"Rua Batista de Oliveira, 1398 - Granbery, Juiz de Fora - MG","Apartamento com 3 Quartos para Aluguel, 127",  127,  3,  2,  1,"['Cozinha', 'Elevador', 'Interfone', 'Varanda', 'Área de serviço']",   R$ 1.520 /Mês 
"Rua Manabu Mabe, 12 - Loteamento Villa Branca, Jacareí - SP","Casa com 3 Quartos para Aluguel, 165",  165,  3,  2,  2,['Aceita animais'],   R$ 3.750 /Mês 
"Rua José Gonçalves da Mota Jr., 83 - Marapé, Santos - SP","Ponto comercial/Loja/Box    para Aluguel, 40",  40,,  2,  --,"['Depósito', 'Ar-condicionado']",   R$ 1.800 /Mês 
"Rua da Colina, 0 - Alto do Coqueirinho, Salvador - BA","Casa com 2 Quartos para Venda/Aluguel 90",  90,  2,  2,  --,['Aceita animais'],   R$ 500 /Mês 
"Rua Doutor Sinésio da Paixão Nogueira, 195 - Vila Tiradentes, São João de Meriti - RJ","Casa com 2 Quartos para Aluguel, 60",  60,  2,  1,  --,,   R$ 850 /Mês 
"Jardim Cidade Pirituba, São Paulo - SP","Apartamento com 2 Quartos para Aluguel, 67",  67,  2,  2,  1,,   R$ 2.300 /Mês 
"Estrada da Posse, Lt 25 Qd 01 - Campo Grande, Rio de Janeiro - RJ","Sala/Conjunto    para Aluguel, 110",  110,,  2,  --,,   R$ 2.000 /Mês 
"Rua 113, 86 - Conjunto Ceara II, Fortaleza - CE","Casa com 3 Quartos para Aluguel, 137",  137,  3,  3,  4,['Área de serviço'],   R$ 1.800 /Mês 
"Centro, Ribeirão Preto - SP","Apartamento com 3 Quartos para Aluguel, 104",  104,  3,  1,  1,"['Cozinha', 'Elevador', 'Interfone', 'Área de serviço', 'Aceita animais']",   R$ 1.400 /Mês 
"Avenida Santa Inês - Parque Mandaqui, São Paulo - SP","Cobertura com 4 Quartos para Venda/Aluguel 142",  142,  4,  5,  3,"['Churrasqueira', 'Elevador', 'Garagem', 'Playground', 'Salão de festas', '...']",   R$ 5.000 /Mês 
"Rua Conde do Pinhal, 2993 - Centro, São Carlos - SP","Casa com 3 Quartos para Aluguel, 90",  90,  3,  2,  2,['Garagem'],   R$ 1.650 /Mês 
"Rua Leonardo Gonçalves Caramuru, 154 - Jardim Emília, Jacareí - SP","Apartamento com 3 Quartos para Aluguel, 85",  85,  3,  2,  2,"['Salão de festas', 'Condomínio fechado', 'Portão eletrônico']",   R$ 1.600 /Mês  Preço abaixo do mercado  
"Rua Presidente Vargas, 0 - Marechal Rondon, Salvador - BA","Casa com 2 Quartos para Venda/Aluguel 80",  80,  2,  1,  --,['Aceita animais'],   R$ 500 /Mês 
"Rua Max Feffer, 01 - Trobogy, Salvador - BA","Casa com 2 Quartos à Venda/Aluguel 60",  60,  2,  2,  --,,   R$ 700 /Mês 
"Rua Padre Eugênio, 1179 - Jardim Jacinto, Jacareí - SP","Casa com 3 Quartos para Aluguel, 150",  150,  3,  3,  2,"['Condomínio fechado', 'Portão eletrônico', 'Portaria 24h', 'Academia', 'Aceita animais']",   R$ 5.500 /Mês 
"Avenida Jorge Madid, 207 - Centro, Jacareí - SP","Apartamento com 3 Quartos para Aluguel, 87",  87,  3,  2,  1,"['Churrasqueira', 'Condomínio fechado', 'Aceita animais', 'Playground', 'Portaria 24h', '...']",   R$ 2.800 /Mês 
"Rua Guaicurus, 1285 - Água Branca, São Paulo - SP","Apartamento com 2 Quartos para Aluguel, 44",  44,  2,  1,  --,"['Lavanderia', 'Piscina']",   R$ 3.500 /Mês 
"Bairro Pau Preto, Indaiatuba - SP","Apartamento com 2 Quartos para Venda/Aluguel 73",  73,  2,  2,  2,"['Piscina', 'Churrasqueira', 'Elevador', 'Condomínio fechado', 'Academia', '...']",   R$ 3.700 /Mês 
